"title","language","year","description","github","website","image"
"Fermentation Products Analysis","Python","2025","Code, data, and analysis quantifying the varying harvest of fermentation products from the human gut microbiota across dietary conditions.","https://github.com/cremerlab/fermentation_products","https://cremerlab.github.io/fermentation_products/","tools_and_code/fermentation_products.jpg"
"Envelope Proteome and the Density Maintenance Model","Python","2025","Code and analysis for the study of cytoplasmic and membrane density maintenance and its role in shaping cellular geometry in E. coli.","https://github.com/cremerlab/density_maintenance","","tools_and_code/envelope_proteome_partitioning.png"
"Diurnal Growth Variation Modeling","Python","2025","Modeling and analysis of diurnal variations in gut microbial growth dynamics driven by host feeding rhythms.","https://github.com/cremerlab/diurnal_growthvariations","","tools_and_code/proxLI_modeling.png"
"hplc-py","Python","2024","A Python package for rapid, automated peak quantification in complex chromatograms. Designed for high-throughput analysis of HPLC data in microbial physiology experiments.","https://github.com/cremerlab/hplc-py","https://cremerlab.github.io/hplc-py/","tools_and_code/hplc-py_logo.png"
"Optimal Allocation and Flux Parity Model","Python","2022","Code and analysis for the flux parity model of optimal resource allocation in microbial growth.","https://github.com/cremerlab/flux_parity","https://cremerlab.github.io/flux_parity/","tools_and_code/ram_ppgpp.png"
"Collective Movement by Chemotaxis","Python","2019","Simulations and analysis of collective bacterial range expansion driven by chemotaxis.","https://github.com/cremerlab/chemotaxis_range_expansion","",""
"Analyzing Bacterial Swimming Behavior","Python","2019","Tools for quantifying individual bacterial swimming trajectories and run-tumble statistics from microscopy data.","https://github.com/cremerlab/bacterial_swimming","",""
"Modeling Growth of Human Gut Microbiota","Python","2019","Mathematical models linking bacterial physiology, flow, and nutrient gradients to microbiota composition in the human gut.","https://github.com/cremerlab/gut_microbiota_growth","",""
