year,title,authors,journal,volume,issue,page,doi,preprint,github,paper_website,notes
2019,"Spatiotemporal establishment of dense bacterial colonies growing on hard agar","Mya R. Warren, Hui Sun, Yue Yan, Jonas Cremer, Bo Li, and Terence Hwa.","eLife",,,,10.7554/eLife.41093,,,,
2018,"Bacterial growth, flow, and mixing shape human gut microbiota density and composition","Markus Arnoldini, Jonas Cremer, and Terence Hwa.","Gut Microbes",9,(6),,10.1080/19490976.2018.1448741,,,,
2017,"Effect of water flow and chemical environment on microbiota growth and composition in the human colon","Jonas Cremer, Markus Arnoldini, and Terence Hwa.","PNAS",114,(25),,10.1073/pnas.1619598114,,,,
2016,"Effect of flow and peristaltic mixing on bacterial growth in a gut-like channel","Jonas Cremer, Igor Segota, Chih-yu Yang, Markus Arnoldini, John T. Sauls, Zhongge Zhang, Edgar Guitierrez, Alex Groisman, and Terence Hwa.","PNAS",113,(41),,10.1073/pnas.1601306113,,,,
2015,"The emergence of cooperation from a single mutant during microbial life cycles","Anna Melbinger, Jonas Cremer, and Erwin Frey.","Interface",12,(108),,10.1098/rsif.2015.0171,,,,
2013,"Mobility, fitness collection, and the breakdown of cooperation","Anatolij Gelimson, Jonas Cremer, and Erwin Frey.","Physical Review E",87,,,10.1103/PhysRevE.87.042711,,,,
2012,"Growth dynamics and the evolution of cooperation in microbial populations","Jonas Cremer, Anna Melbinger, and Erwin Frey.","Scientific Reports",281,,,10.1038/srep00281,,,,
2011,"Evolutionary and population dynamics: A coupled approach","Jonas Cremer, Anna Melbinger, and Erwin Frey.","Physical Review E",84,,,10.1103/PhysRevE.84.051921,,,,
2010,"Evolutionary game theory in growing populations","Anna Melbinger, Jonas Cremer, and Erwin Frey","Physical Review Letters",105,,,10.1103/PhysRevLett.105.178101,,,,
2010,"Entropy production of cyclic population dynamics","Benjamin Andrae, Jonas Cremer, Tobias Reichenbach, and Erwin Frey.","Physical Review Letters",104,,,10.1103/PhysRevLett.104.218102,,,,
2009,"The edge of neutral evolution in social dilemmas","Jonas Cremer, Tobias Reichenbach, and Erwin Frey.","New Journal of Physics",11,,,10.1088/1367-2630/11/9/093029,,,,
2008,"Anomalous finite-size effects in the battle of the sexes","Jonas Cremer, Tobias Reichenbach, and Erwin Frey.","European Physical Journal B",63,,,10.1140/epjb/e2008-00036-x,,,,
