date,text,link,link_text
2025-07,New paper in Cell: Quantifying the varying harvest of fermentation products from the human gut microbiota.,https://doi.org/10.1016/j.cell.2025.07.005,Read paper
2025-12,New paper in Nature Communications: Maintenance of cytoplasmic and membrane densities shapes cellular geometry in *E. coli*.,https://doi.org/10.1038/s41467-025-67553-3,Read paper
2025-06,PRX Life paper on diurnal variations in gut microbial dynamics featured in a Physics Viewpoint by Anne-Florence Bitbol.,https://physics.aps.org/articles/v18/121,Read viewpoint
2025-09,Welcome to Théo Gervais!,,
2026-02,Join us! Open postdoc positions in quantitative flux analyses and physiological principles of growth.,/join.html,See open positions
